Sample name,title,raw data file,source name,organism,characteristics: donor,characteristics: vaccine,characteristics: time of acquisition,characteristics: timepoint,characteristics: time of acquisition unit,molecule,label,description,platform or Agilent design ID
P168_A06049_w12.6h,post-vaccination blood sample from animal A06049 at w12.w12h,US93503719_254853410092_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06049,Macaca mulatta,A06049,NYV-SIV,6,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with NYV-SIV,GPL17463
P168_A06024_w4.0h,post-vaccination blood sample from animal A06024 at w4.w4h,US93503719_254853410092_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06024,Macaca mulatta,A06024,NYV-Control,NA,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with NYV-Control,GPL17463
P168_A06016_w25.0h,post-vaccination blood sample from animal A06016 at w25.w25h,US93503719_254853410092_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06016,Macaca mulatta,A06016,ALV-Control,2,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-Control,GPL17463
Control.48,Control,US93503719_254853410092_S01_GE1_107_Sep09_1_4.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_A06089_w25.0h,post-vaccination blood sample from animal A06089 at w25.w25h,US93503719_254853410092_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06089,Macaca mulatta,A06089,NYV-SIV,2,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-SIV,GPL17463
P168_A06019_w5.0h,post-vaccination blood sample from animal A06019 at w5.w5h,US93503719_254853410092_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06019,Macaca mulatta,A06019,ALV-Control,1,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-Control,GPL17463
P168_A06019_w4.0h,post-vaccination blood sample from animal A06019 at w4.w4h,US93503719_254853410092_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06019,Macaca mulatta,A06019,ALV-Control,1,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-Control,GPL17463
P168_A06032_w14.0h,post-vaccination blood sample from animal A06032 at w14.w14h,US93503719_254853410092_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06032,Macaca mulatta,A06032,NYV-Control,3,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with NYV-Control,GPL17463
Control.43,Control,US93503719_254853410093_S01_GE1_107_Sep09_1_1.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_A06067_w24.24h,post-vaccination blood sample from animal A06067 at w24.w24h,US93503719_254853410093_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06067,Macaca mulatta,A06067,ALV-SIV,not infected,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with ALV-SIV,GPL17463
P168_A06049_w12.0h,post-vaccination blood sample from animal A06049 at w12.w12h,US93503719_254853410093_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06049,Macaca mulatta,A06049,NYV-SIV,6,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with NYV-SIV,GPL17463
P168_A06085_w14.0h,post-vaccination blood sample from animal A06085 at w14.w14h,US93503719_254853410093_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06085,Macaca mulatta,A06085,NYV-Control,4,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with NYV-Control,GPL17463
P168_A06079_w12.24h,post-vaccination blood sample from animal A06079 at w12.w12h,US93503719_254853410093_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06079,Macaca mulatta,A06079,ALV-SIV,7,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-SIV,GPL17463
P168_A06032_w4.0h,post-vaccination blood sample from animal A06032 at w4.w4h,US93503719_254853410093_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06032,Macaca mulatta,A06032,NYV-Control,3,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with NYV-Control,GPL17463
P168_A06082_w26.0h,post-vaccination blood sample from animal A06082 at w26.w26h,US93503719_254853410093_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06082,Macaca mulatta,A06082,ALV-SIV,1,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with ALV-SIV,GPL17463
P168_A06059_w5.0h,post-vaccination blood sample from animal A06059 at w5.w5h,US93503719_254853410093_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06059,Macaca mulatta,A06059,ALV-SIV,11,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-SIV,GPL17463
P168_A06028_w14.0h,post-vaccination blood sample from animal A06028 at w14.w14h,US93503719_254853410094_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06028,Macaca mulatta,A06028,ALV-SIV,not infected,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-SIV,GPL17463
P168_A06083_w24.24h,post-vaccination blood sample from animal A06083 at w24.w24h,US93503719_254853410094_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06083,Macaca mulatta,A06083,ALV-Control,3,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with ALV-Control,GPL17463
P168_A06053_w26.0h,post-vaccination blood sample from animal A06053 at w26.w26h,US93503719_254853410094_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06053,Macaca mulatta,A06053,ALV-SIV,4,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with ALV-SIV,GPL17463
P168_A06023_w1.0h,post-vaccination blood sample from animal A06023 at w1.w1h,US93503719_254853410094_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06023,Macaca mulatta,A06023,NYV-Control,not infected,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with NYV-Control,GPL17463
P168_A06055_w25.0h,post-vaccination blood sample from animal A06055 at w25.w25h,US93503719_254853410094_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06055,Macaca mulatta,A06055,NYV-SIV,2,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-SIV,GPL17463
P168_A06067_w12.6h,post-vaccination blood sample from animal A06067 at w12.w12h,US93503719_254853410094_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06067,Macaca mulatta,A06067,ALV-SIV,not infected,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with ALV-SIV,GPL17463
P168_A06070_w12.0h,post-vaccination blood sample from animal A06070 at w12.w12h,US93503719_254853410094_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06070,Macaca mulatta,A06070,ALV-Control,1,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with ALV-Control,GPL17463
P168_A06019_w2.0h,post-vaccination blood sample from animal A06019 at w2.w2h,US93503719_254853410094_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06019,Macaca mulatta,A06019,ALV-Control,1,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-Control,GPL17463
P168_A06019_w25.0h,post-vaccination blood sample from animal A06019 at w25.w25h,US93503719_254853410095_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06019,Macaca mulatta,A06019,ALV-Control,1,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-Control,GPL17463
P168_A06034_w4.0h,post-vaccination blood sample from animal A06034 at w4.w4h,US93503719_254853410095_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06034,Macaca mulatta,A06034,ALV-SIV,3,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-SIV,GPL17463
P168_A06049_w12.24h,post-vaccination blood sample from animal A06049 at w12.w12h,US93503719_254853410095_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06049,Macaca mulatta,A06049,NYV-SIV,6,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-SIV,GPL17463
P168_A06070_w1.0h,post-vaccination blood sample from animal A06070 at w1.w1h,US93503719_254853410095_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06070,Macaca mulatta,A06070,ALV-Control,1,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-Control,GPL17463
Control.27,Control,US93503719_254853410095_S01_GE1_107_Sep09_2_1.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_A06042_w12.0h,post-vaccination blood sample from animal A06042 at w12.w12h,US93503719_254853410095_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06042,Macaca mulatta,A06042,ALV-SIV,2,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with ALV-SIV,GPL17463
P168_A06079_w5.0h,post-vaccination blood sample from animal A06079 at w5.w5h,US93503719_254853410095_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06079,Macaca mulatta,A06079,ALV-SIV,7,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-SIV,GPL17463
P168_A06023_w2.0h,post-vaccination blood sample from animal A06023 at w2.w2h,US93503719_254853410095_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06023,Macaca mulatta,A06023,NYV-Control,not infected,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with NYV-Control,GPL17463
P168_A06079_w12.6h,post-vaccination blood sample from animal A06079 at w12.w12h,US93503719_254853410106_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06079,Macaca mulatta,A06079,ALV-SIV,7,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with ALV-SIV,GPL17463
P168_A06026_w4.0h,post-vaccination blood sample from animal A06026 at w4.w4h,US93503719_254853410106_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06026,Macaca mulatta,A06026,NYV-SIV,3,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with NYV-SIV,GPL17463
P168_A06083_w14.0h,post-vaccination blood sample from animal A06083 at w14.w14h,US93503719_254853410106_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06083,Macaca mulatta,A06083,ALV-Control,3,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with ALV-Control,GPL17463
P168_A06070_w12.6h,post-vaccination blood sample from animal A06070 at w12.w12h,US93503719_254853410106_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06070,Macaca mulatta,A06070,ALV-Control,1,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with ALV-Control,GPL17463
P168_A06021_w26.0h,post-vaccination blood sample from animal A06021 at w26.w26h,US93503719_254853410106_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06021,Macaca mulatta,A06021,NYV-SIV,1,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with NYV-SIV,GPL17463
Control.14,Control,US93503719_254853410106_S01_GE1_107_Sep09_2_2.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_A06023_w24.24h,post-vaccination blood sample from animal A06023 at w24.w24h,US93503719_254853410106_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06023,Macaca mulatta,A06023,NYV-Control,not infected,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with NYV-Control,GPL17463
P168_A06023_w26.0h,post-vaccination blood sample from animal A06023 at w26.w26h,US93503719_254853410106_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06023,Macaca mulatta,A06023,NYV-Control,not infected,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with NYV-Control,GPL17463
P168_A06026_w5.0h,post-vaccination blood sample from animal A06026 at w5.w5h,US93503719_254853410107_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06026,Macaca mulatta,A06026,NYV-SIV,3,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with NYV-SIV,GPL17463
P168_A06032_w2.0h,post-vaccination blood sample from animal A06032 at w2.w2h,US93503719_254853410107_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06032,Macaca mulatta,A06032,NYV-Control,3,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with NYV-Control,GPL17463
Control.30,Control,US93503719_254853410107_S01_GE1_107_Sep09_1_3.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_A06083_w2.0h,post-vaccination blood sample from animal A06083 at w2.w2h,US93503719_254853410107_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06083,Macaca mulatta,A06083,ALV-Control,3,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-Control,GPL17463
P168_A06016_w1.0h,post-vaccination blood sample from animal A06016 at w1.w1h,US93503719_254853410107_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06016,Macaca mulatta,A06016,ALV-Control,2,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-Control,GPL17463
P168_A06024_w12.24h,post-vaccination blood sample from animal A06024 at w12.w12h,US93503719_254853410107_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06024,Macaca mulatta,A06024,NYV-Control,NA,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-Control,GPL17463
P168_A06055_w2.0h,post-vaccination blood sample from animal A06055 at w2.w2h,US93503719_254853410107_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06055,Macaca mulatta,A06055,NYV-SIV,2,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with NYV-SIV,GPL17463
P168_A06019_w12.0h,post-vaccination blood sample from animal A06019 at w12.w12h,US93503719_254853410107_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06019,Macaca mulatta,A06019,ALV-Control,1,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with ALV-Control,GPL17463
P168_A06026_w14.0h,post-vaccination blood sample from animal A06026 at w14.w14h,US93503719_254853410109_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06026,Macaca mulatta,A06026,NYV-SIV,3,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with NYV-SIV,GPL17463
P168_A06028_w26.0h,post-vaccination blood sample from animal A06028 at w26.w26h,US93503719_254853410109_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06028,Macaca mulatta,A06028,ALV-SIV,not infected,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with ALV-SIV,GPL17463
P168_A06070_w2.0h,post-vaccination blood sample from animal A06070 at w2.w2h,US93503719_254853410109_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06070,Macaca mulatta,A06070,ALV-Control,1,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-Control,GPL17463
P168_A06028_w12.24h,post-vaccination blood sample from animal A06028 at w12.w12h,US93503719_254853410109_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06028,Macaca mulatta,A06028,ALV-SIV,not infected,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-SIV,GPL17463
P168_A06021_w14.0h,post-vaccination blood sample from animal A06021 at w14.w14h,US93503719_254853410109_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06021,Macaca mulatta,A06021,NYV-SIV,1,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with NYV-SIV,GPL17463
P168_A06034_w1.0h,post-vaccination blood sample from animal A06034 at w1.w1h,US93503719_254853410109_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06034,Macaca mulatta,A06034,ALV-SIV,3,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-SIV,GPL17463
P168_A06085_w12.0h,post-vaccination blood sample from animal A06085 at w12.w12h,US93503719_254853410109_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06085,Macaca mulatta,A06085,NYV-Control,4,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with NYV-Control,GPL17463
P168_A06082_w12.24h,post-vaccination blood sample from animal A06082 at w12.w12h,US93503719_254853410110_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06082,Macaca mulatta,A06082,ALV-SIV,1,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-SIV,GPL17463
P168_A06042_w1.0h,post-vaccination blood sample from animal A06042 at w1.w1h,US93503719_254853410110_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06042,Macaca mulatta,A06042,ALV-SIV,2,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-SIV,GPL17463
P168_A06015_w26.0h,post-vaccination blood sample from animal A06015 at w26.w26h,US93503719_254853410110_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06015,Macaca mulatta,A06015,NYV-SIV,4,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with NYV-SIV,GPL17463
P168_A06026_w2.0h,post-vaccination blood sample from animal A06026 at w2.w2h,US93503719_254853410110_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06026,Macaca mulatta,A06026,NYV-SIV,3,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with NYV-SIV,GPL17463
P168_A06028_w2.0h,post-vaccination blood sample from animal A06028 at w2.w2h,US93503719_254853410110_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06028,Macaca mulatta,A06028,ALV-SIV,not infected,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-SIV,GPL17463
